nom,charte,image,"taille image",alternative,légende,appellations,typeappellation,année,pays,région-mère,similaire,sous-régions,localisation,saison,climat,jourssoleil,sol,superficietotale,superficieplantée,exploitations,cépages,vins,volproduction,densité,rendement,wikipedia_url,wikipedia_api
"Crémant de Loire",,"Cave Langlois-Château Crémant de Loire.jpg",,,"Crémant de Loire dans les caves de Langlois-Château","crémant de Loire","Appellation d'origine contrôlée AOC",1975,France,"Vignoble de la vallée de la Loire vallée de la Loire",,"Anjou et Touraine","Maine-et-Loire, Indre-et-Loire, Loir-et-Cher, Deux-Sèvres et Vienne (département) Vienne",,"Climat tempéré tempéré Climat océanique océanique",,,,"formatnum:1605 hectares",,"Chardonnay (cépage) chardonnay B, chenin blanc B, arbois B, cabernet franc N, cabernet sauvignon N, grolleau N, grolleau G, pineau d'Aunis N et Pinot noir (cépage) pinot noir N","Vin effervescent mousseux 90 % blancs et 10 % rosés","formatnum:93355 hl en 2009''Le Guide Hachette des vins 2011'', Hachette, 2010.","minimum de formatnum:4000 pieds par ha","74 à 80 hl/ha",https://fr.wikipedia.org/wiki/Cr%C3%A9mant_de_Loire,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Cr%C3%A9mant_de_Loire
"Rosé de Loire",,"Wine Decanters (13925503319).jpg",,,"Rosé de Loire dans un décanteur","rosé de Loire","Appellation d'origine contrôlée AOC",1974,France,"Vignoble de la vallée de la Loire vallée de la Loire",,"Anjou et Touraine","Maine-et-Loire, Indre-et-Loire, Loir-et-Cher, Deux-Sèvres et Vienne (département) Vienne",,"Climat tempéré tempéré Climat océanique océanique",,,,"formatnum:1000 hectares",,"cabernet franc, cabernet sauvignon, grolleau, pineau d'Aunis, gamay et côt","Vin rosé rosés","formatnum:60000 hectolitres","minimum de formatnum:4000 pieds par ha","60 à 72 hectolitres/hectares",https://fr.wikipedia.org/wiki/Ros%C3%A9_de_Loire,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Ros%C3%A9_de_Loire
Coteaux-d'ancenis,,Bouzillé.jpg,,,"Vignes à Bouzillé",coteaux-d'ancenis,"Appellation_d'origine_contrôlée AOC",2011,France,"vignoble de la vallée de la Loire vallée de la Loire",,,"Image:Blason dpt fr LoireAtlantique dapres Robert Louis.svg 15px Loire-Atlantique et Maine-et-Loire",,"Climat tempéré tempéré Climat océanique océanique",,"terrains schisto-argileux, avec quelques secteurs granitiques",,"166 hectares en 2008Le ''Guide Hachette des vins 2010'', page 932.",,"gamay noir, Pinot gris (cépage) pinot gris,cabernet franc et chenin blanc","Vin rouge rouges,Vin blanc blancs et Vin rosé rosés","formatnum:10001 hectolitres",,"40 hl/ha",https://fr.wikipedia.org/wiki/Coteaux-d%27ancenis,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Coteaux-d%27ancenis
"Pays nantais",blanc,"Gros plant du pays nantais sur lie.JPG",,,"Bouteille de gros-plant-du-pays-nantais.",gros-plant-du-pays-nantais,"Appellation d'origine vin délimité de qualité supérieure AOVDQS (AOC en 2012)",1954,France,"vignoble de la vallée de la Loire vallée de la Loire",,"Pays nantais","Loire-AtlantiqueMaine-et-LoireVendée (département) Vendée",,"Climat tempéré tempéré Climat océanique océanique",,"brun d’origine métamorphique composé de sable et de graviers",,"formatnum:1372 hectares en 2008",,folle-blanche,"vin blanc blancs sec","unité 79380 hl en 2008","minimum de formatnum:6500 pieds/ha","unité 50 hl/ha",https://fr.wikipedia.org/wiki/Gros-plant-du-pays-nantais,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Gros-plant-du-pays-nantais
Muscadet,blanc,"AOC Muscadet, millésime 2004.jpg",,,"AOC Muscadet",muscadet,"Appellation d'origine contrôlée AOC",1936,France,"Vignoble de la vallée de la Loire vallée de la Loire","Gros-plant-du-pays-nantais (AOVDQS)","Gorges, Goulaine...","Loire-Atlantique, Maine-et-Loire et Vendée (département) Vendée",,"Climat tempéré climat océanique océanique",,,,"unité 9000 hectares",,"Melon (cépage) Melon (ou Melon de Bourgogne)","Vin blanc","unité 727000 hectolitres (1999)","unité/2 6500 à 7500 pieds/ha","65 à 78 hl/ha pour le muscadet55 à 66 hl/ha pour le muscadet sur lie",https://fr.wikipedia.org/wiki/Muscadet_(AOC),https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Muscadet_(AOC)
Muscadet-sèvre-et-maine,blanc,"Sevre et Maine Muscadet.JPG",,,Muscadet-sèvre-et-maine,muscadet-sèvre-et-maine,"Appellation d'origine contrôlée AOC","1936lien weburl",France,"vignoble de la vallée de la Loire Vallée de la Loire",,"Pays nantais","Loire-Atlantique et Maine-et-Loire",,"Climat tempéré tempéré Climat océanique océanique",,"Granites, gneiss, gabbro… et sols plutôt légers",,"nombre 8800 hectares",,"melon de Bourgogne","Vin blanc blancs","nombre 418000 hectolitres","minimum de nombre 6500 pieds par hectare","55 à unité 66 hl/halien weburl",https://fr.wikipedia.org/wiki/Muscadet-s%C3%A8vre-et-maine,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Muscadet-s%C3%A8vre-et-maine
Muscadet-coteaux-de-la-loire,blanc,"AOC Muscadet-coteaux-de-la-loire, 2010.jpg",,,"Muscadet-coteaux-de-la-loire, millésime 2010",muscadet-coteaux-de-la-loire,"Appellation d'origine contrôlée AOC",1936,France,"vignoble de la vallée de la Loire vallée de la Loire",,"Loire-Atlantique et Maine-et-Loire",,,"Climat tempéré tempéré Climat océanique océanique",,"terrains schisteux, parfois granitiquesGuide Vert Solar : ''Vins de France''. (Page n°183 sur ''Muscadet coteaux de la loire'').",,"200 hectares",,"melon de Bourgogne","Vin blanc blancs","formatnum:11900 hectolitres","minimum de formatnum:6500 pieds par hectare","55 à 66 hectolitres/hectare",https://fr.wikipedia.org/wiki/Muscadet-coteaux-de-la-loire,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Muscadet-coteaux-de-la-loire
Muscadet-côtes-de-grandlieu,blanc,"Vignoble nantais coteaux d'herbauge.jpg",,,"Muscadet « Coteaux d'Herbauge », Pont-Saint-Martin, France.",muscadet-côtes-de-grandlieu,"Appellation d'origine contrôlée AOC",1994,France,"vignoble de la vallée de la Loire vallée de la Loire",,"Pays nantais","Loire-Atlantique et Vendée (département) Vendée",,"Climat tempéré tempéré Climat océanique océanique",,,,"300 hectares",,"melon de Bourgogne","Vin blanc blancs","formatnum:10500 hectolitres","minimum de formatnum:6500 pieds/ha","55 hectolitres/hectare",https://fr.wikipedia.org/wiki/Muscadet-c%C3%B4tes-de-grandlieu,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Muscadet-c%C3%B4tes-de-grandlieu
Fiefs-vendéens,,Vignebrem.JPG,,,"Le vignoble des fiefs-vendéens à Brem-sur-Mer.",fiefs-vendéens,"appellation d'origine contrôlée AOC",1984,France,"vignoble de la vallée de la Loire vallée de la Loire",,"vignoble nantais-->","Vendée (département) Vendée",,"Climat tempéré tempéré Climat océanique océanique","unité 2300 heures","argilo-calcaire, silico-argilo-schisteux et argilo-graveleux",,"490 hectares",,"Gamay, Pinot noir (cépage) Pinot noir, Négrette et Chenin blanc","Vin rouge rouges, Vin rosé rosés et Vin blanc blancs","unité 30000 hectolitres","minimum de unité 4500 pieds à l'hectare","maximum 50 à 57 hectolitres par hectare",https://fr.wikipedia.org/wiki/Fiefs-vend%C3%A9ens,https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Fiefs-vend%C3%A9ens
Anjou,,"Verre et bouteille d'Anjou AOC.jpg",,,"Verre et bouteille d'anjou rouge","anjou, cabernet-d'anjou et rosé-d'anjou","Appellation d'origine contrôlée AOC","1936 (pour les vins tranquilles),1938 (pour les mousseux),1957 (pour le rosé-d'anjou),1964 (pour le cabernet-d'anjou)",France,"Vignoble de la vallée de la Loire vallée de la Loire",,Anjou,"Maine-et-Loire, Deux-Sèvres et Vienne (département) Vienne",,"Climat tempéré tempéré Climat océanique océanique dégradé",,"schistes ardoisiers et sols crayeuxGuide Vert Solar : ''Vins de France'', page n°5 sur ''Anjou''.",,"formatnum:4693 hectares''Le Guide Hachette des vins 2011'', éditions Hachette, 2010. ISBN 978-2-01-237681-6",,"cabernet franc N, cabernet sauvignon N et chenin B","85 % Vin rouge rouges, Vin rosé rosés, Vin blanc blancs,Vin effervescent mousseux, vin rouge primeur (gamay)Lien weburl","formatnum:270457 hectolitres en 2009","minimum formatnum:4000 pieds par ha","60 à 65 hl/ha en blanc et rouge,60 à 69 hl/ha en cabernet-d'anjou,60 à 72 hl/ha en gamay,65 à 75 hl/ha en rosé-d'anjou,67 à 76 hl/ha en mousseux",https://fr.wikipedia.org/wiki/Anjou_(AOC),https://fr.wikipedia.org/w/api.php?action=query&prop=revisions&rvprop=content&format=xmlfm&rvsection=0&titles=Anjou_(AOC)
